ngram,count,normed
TH,100272945963,0.03556203386778826
HE,86697336727,0.030747412428375958
IN,68595215308,0.024327452898924896
ER,57754162106,0.02048264812701487
AN,55974567611,0.019851510793865493
RE,52285662239,0.01854323191052106
ON,49570981965,0.01758046422760261
AT,41920838452,0.014867323009999081
EN,41004903554,0.014542484564787905
ND,38129777631,0.01352281445869957
TI,37856196209,0.013425788170089764
ES,37766388079,0.013393937507580644
OR,35994097756,0.012765390616045856
TE,33973261529,0.012048696340679246
OF,33130341561,0.01174975281047807
ED,32937140633,0.011681233651308664
IS,31817918249,0.011284298825637128
IT,31672532308,0.011232737362990464
AL,30662410438,0.010874495288754522
AR,30308513014,0.010748984742942346
ST,29704461829,0.010534756583067855
TO,29360205581,0.010412665302782832
NT,29359771944,0.010412511512410641
NG,26871805511,0.0095301484213241
SE,26282488562,0.009321145792569851
HA,26103411208,0.009257635591819873
AS,24561944198,0.008710950725934656
OU,24531132241,0.008700023193609324
IO,23542263265,0.00834931850773829
LE,23382173640,0.008292542349309354
VE,23270129573,0.008252805659945414
CO,22384167777,0.00793859724517974
ME,22360109325,0.007930064859134691
DE,21565300071,0.007648183905725692
HI,21520845924,0.007632418138937899
RI,20516398905,0.007276188663828456
RO,20491179118,0.007267244407620372
IC,19701195496,0.006987074875841299
NE,19504235770,0.006917222650205216
EA,19403941063,0.0068816528987349634
RA,19332539912,0.00685633031420655
CE,18367773425,0.006514173632205197
LI,17604626629,0.0062435218432823885
CH,16854985236,0.005977659776993852
LL,16257360474,0.00576571076300642
BE,16249257887,0.005762837161652202
MA,15938689768,0.0056526934547922415
SI,15509759748,0.005500572424023089
OM,15402602484,0.005462568850726722
UR,15303657594,0.005427477814999867
CA,15174413181,0.005381640982859478
EL,14952716079,0.0053030155892002185
TA,14941000711,0.005298860706648515
LA,14874551789,0.00527529444167098
NS,14350320288,0.005089374518664006
DI,13899990598,0.0049296640450796365
FO,13753006196,0.0048775356845157675
HO,13672603513,0.004849020685694829
PE,13477683504,0.004779891850444238
EC,13457763533,0.004772827186326274
PR,13378480175,0.004744709158724009
NO,13099447521,0.004645749577986965
CT,12997849406,0.004609717569833274
US,12808517567,0.004542570592090613
AC,12625666388,0.004477721995513402
OT,12465822481,0.004421032981545556
IL,12167821320,0.004315346175614546
TR,12006693396,0.004258201782026581
LY,11983948242,0.0042501351601765104
NC,11722631112,0.004157458431293704
ET,11634161334,0.004126082418439024
UT,11423899818,0.004051512681993427
SS,11421755201,0.004050752088578574
SO,11214705934,0.003977321583723639
RS,11180732354,0.003965272774436477
UN,11121118166,0.003944130463793296
LO,10908830081,0.0038688419999310334
WA,10865206430,0.003853370770484249
GE,10861045622,0.0038518951302346054
IE,10845731320,0.0038464638773562216
WH,10680697684,0.0037879343139092495
EE,10647199443,0.003776054084705722
WI,10557401491,0.0037442070318480115
EM,10536054813,0.0037366363827690376
AD,10375130449,0.0036795641822092583
OL,10305660447,0.0036549264841722333
RT,10198055461,0.0036167641252256148
PO,10189505383,0.0036137318201458334
WE,10176141608,0.0036089923262116784
NA,9790855551,0.003472349728587426
UL,9751225781,0.0034582949383408857
NI,9564648232,0.003392124775962738
TS,9516029773,0.0033748821262235386
MO,9498813191,0.0033687762253118664
OW,9318366591,0.003304780418278381
PA,9123652775,0.0032357247098555595
IM,8959759181,0.0031775994649595714
MI,8957825538,0.0031769136939652737
AI,8922759715,0.003164477518153824
SH,8888705287,0.0031524000359351304
IR,8886799024,0.0031517239753216133
SU,8774129154,0.0031117653434659404
ID,8332214014,0.0029550391096404447
OS,8176085241,0.002899667676599962
IV,8116349309,0.0028784821891635823
IA,8072199471,0.0028628243462715157
AM,8032259916,0.0028486596900530927
FI,8024355222,0.002845856271912309
CI,7936922442,0.0028148480328139764
VI,7600241898,0.0026954434935998663
PL,7415349106,0.002629870834216346
IG,7189051323,0.0025496137983233255
TU,7187510085,0.0025490671946763704
EV,7184041787,0.002547837154711402
LD,7122648226,0.002526063785288789
RY,6985436186,0.0024774012156725655
MP,6743935008,0.002391752260327065
FE,6670566518,0.0023657319544394604
BL,6581097936,0.002334001713419505
AB,6479202253,0.0022978641720814404
GH,6414827751,0.0022750336049891886
TY,6408447994,0.0022727710093077376
OP,6313536754,0.002239110516949617
WO,6252724050,0.0022175431498151384
SA,6147356936,0.0021801744573863575
AY,6128842727,0.0021736083500363624
EX,6035335807,0.0021404459030375522
KE,6027536039,0.0021376796971470896
FR,6011200185,0.002131886148472239
OO,5928601045,0.002102592171059687
AV,5778409728,0.002049326470620682
AG,5772552144,0.0020472490648100632
IF,5731148470,0.002032565155377681
AP,5719570727,0.002028459081852819
GR,5548472398,0.0019677786609059254
OD,5511014957,0.0019544942921995924
BO,5509918152,0.001954105307751377
SP,5392724233,0.001912542211379254
RD,5338083783,0.001893163848503906
DO,5307591560,0.0018823497105864833
UC,5291161134,0.0018765226217315313
BU,5214802738,0.0018494419387161548
EI,5169898489,0.0018335165422055663
OV,5021440160,0.0017808654499976906
BY,4975814759,0.0017646842952504058
RM,4938158020,0.001751329245044116
EP,4837800987,0.001715737389512778
TT,4812693687,0.0017068330270812785
OC,4692062395,0.001664050858367476
FA,4624241031,0.0016399978536375905
EF,4588497002,0.0016273211504883858
CU,4585165906,0.0016261397695323246
RN,4521640992,0.0016036105108033557
SC,4363410770,0.0015474937939797772
GI,4275639800,0.001516365615010144
DA,4259590348,0.0015106736394717565
YO,4226720021,0.001499016101431031
CR,4214150542,0.0014945583064235582
CL,4201617719,0.0014901135115518742
DU,4186093215,0.0014846077100445331
GA,4175274057,0.0014807706704570165
QU,4160167957,0.0014754132569029315
UE,4158448570,0.001474803472298135
FF,4125634219,0.0014631657862762036
BA,4122472992,0.0014620446497566957
EY,4053144855,0.0014374572644723898
LS,3990203351,0.0014151349134589523
VA,3946966167,0.0013998007454339783
UM,3901923211,0.001383826156162727
PP,3850125519,0.0013654559840341753
UA,3844138094,0.0013633325298104467
UP,3835093459,0.0013601248289385637
LU,3811884104,0.001351893577122505
GO,3725558729,0.00132127808178708
HT,3670802795,0.0013018587622421164
RU,3618438291,0.001283287568917398
UG,3606562400,0.0012790757565098118
DS,3560125353,0.0012626067496179288
LT,3486149365,0.001236370993149481
PI,3470838749,0.0012309410475195837
RC,3422694015,0.0012138664054551587
RR,3404547067,0.0012074305480743342
EG,3370515965,0.0011953613384758776
AU,3356322923,0.0011903277430684266
CK,3316660134,0.0011762612425566196
EW,3293529190,0.0011680577993843661
MU,3231856188,0.0011461853255601557
BR,3145611704,0.0011155985184063135
BI,3005679357,0.0010659711855756883
PT,2982699529,0.0010578213360448539
AK,2952167845,0.0010469932031918583
PU,2947681332,0.001045402050905247
UI,2852182384,0.0010115331265358833
RG,2813274913,0.0009977345013122607
IB,2780268452,0.0009860286830313163
TL,2775935006,0.0009844918163128189
NY,2760941827,0.0009791744504544292
KI,2759841743,0.0009787843031012254
RK,2736041446,0.0009703434723282896
YS,2730343336,0.0009683226243432593
OB,2725791138,0.0009667081767183873
MM,2708822249,0.0009606901207061564
FU,2706168901,0.0009597491046570832
PH,2661480326,0.000943900197432999
OG,2651165734,0.0009402421033527496
MS,2617582287,0.0009283316556428383
YE,2612941418,0.0009266857606412607
UD,2577213760,0.0009140148635053414
MB,2544901434,0.0009025552218191082
IP,2515455253,0.0008921120651337005
UB,2497666762,0.0008858033353629379
OI,2474275212,0.0008775074676657127
RL,2432373251,0.0008626468395880397
GU,2418410978,0.0008576950869440063
DR,2409399231,0.0008544990498779347
HR,2379584978,0.0008439253556003173
CC,2344219345,0.0008313828514739716
TW,2322619238,0.0008237223232097947
FT,2302659749,0.0008166436439410749
WN,2227183930,0.0007898759689146779
NU,2217508482,0.0007864445487428901
AF,2092395523,0.000742072946387665
HU,2077887429,0.0007369276170545124
NN,2051719074,0.0007276469489955756
EO,2044268477,0.0007250045774136435
VO,2004982879,0.0007110718485686385
RV,1953555667,0.000692833068035106
NF,1894270041,0.0006718072826705972
XP,1885334638,0.000668638321181966
GN,1850801359,0.0006563910133406572
SM,1838392669,0.0006519902425265863
FL,1830098844,0.0006490488181701867
IZ,1814164135,0.0006433975365040388
OK,1813376076,0.0006431180495439353
NL,1798491132,0.0006378390694804248
MY,1753447198,0.0006218641333591954
GL,1709752272,0.0006063676260676287
AW,1689436638,0.0005991626391450328
JU,1655210582,0.0005870242886563382
OA,1620913259,0.00057486066316008
EQ,1614312175,0.0005725195733425061
SY,1602829285,0.000568447139655051
SL,1575646777,0.0005588067998722335
PS,1538723474,0.0005457118644518548
JO,1516687319,0.0005378966907487205
LF,1507867867,0.0005347688515523429
NV,1466426243,0.0005200714830640574
JE,1463052212,0.0005188748751102306
NK,1455100124,0.0005160546485769444
KN,1450401608,0.0005143883089325302
GS,1443474876,0.0005119317272931717
DY,1421751251,0.0005042273930825643
HY,1412343465,0.000500890899862585
ZE,1402290616,0.0004973256335470059
KS,1339590722,0.00047508897008288975
XT,1315669490,0.00046660524943049046
BS,1292319275,0.00045832404128730357
IK,1209994695,0.0004291274372183285
DD,1205446875,0.00042751454226135495
CY,1176324279,0.0004171861457499762
RP,1173542093,0.00041619943700407986
SK,1112771273,0.00039464692412776814
XI,1111463633,0.00039418316655567056
OE,1089254517,0.0003863066518309803
OY,1020190223,0.00036181283908123666
WS,989253674,0.0003508411199128735
LV,984229060,0.00034905912885312644
DL,911886482,0.00032340266504614503
RF,909634941,0.00032260415078561597
EU,878402090,0.0003115273474227286
DG,874188188,0.0003100328772623043
WR,867361010,0.00030761160268095306
XA,834649781,0.0002960104891165404
YI,812619095,0.00028819725500699606
NM,782441941,0.0002774948570443646
EB,763383542,0.0002707357514431997
RB,753194669,0.00026712224389915793
TM,746621025,0.0002647908857415045
XC,746076293,0.000264597695268772
EH,742240059,0.00026323716594431096
TC,736955048,0.00026136282448192903
GY,731420025,0.0002593998156813537
JA,729206855,0.0002586149097853584
HN,726288117,0.00025757977255456933
YP,702499946,0.0002491432422957806
ZA,702199296,0.00024903661607292787
GG,697999944,0.00024754730610389725
YM,667551857,0.0002367488211216877
SW,663415953,0.0002352820131336568
BJ,654853039,0.00023224515573657463
LM,649112313,0.00023020919388787195
CS,643530723,0.00022822966999227053
II,642384029,0.00022782299229399052
IX,621227893,0.0002203199193791771
XE,614533122,0.00021794560324881292
OH,602121281,0.00021354371492525182
LK,555883002,0.00019714520156759115
DV,537221821,0.00019052697025543041
LP,536595562,0.0001903048660422339
AX,531206960,0.0001883937857903907
OX,523764012,0.00018575412694412668
UF,522547858,0.00018532281509504224
DM,512522701,0.00018176736981177067
IU,490874936,0.00017408993952687619
SF,483979931,0.00017164460994197454
BT,482272940,0.00017103922160745399
KA,478095427,0.00016955765689064648
YT,470429861,0.00016683904605210232
EK,464449289,0.0001647180222607875
PM,449910017,0.0001595616355773069
YA,444542870,0.00015765816439119228
GT,434302509,0.00015402639650801116
WL,429185823,0.00015221175189898591
RH,426095630,0.00015111580775304897
YL,416082307,0.00014756455942544424
HS,414044112,0.00014684170882079659
AH,384694919,0.00013643294915551877
YC,380670476,0.00013500567107078203
YN,372595315,0.00013214179641135189
RW,359714599,0.00012757362047681432
HM,359316447,0.0001274324149425344
LW,356374125,0.0001263889135912073
HL,355049620,0.00012591917480757334
AE,349540062,0.00012396519722856773
ZI,341671190,0.00012117448344352996
AZ,334669428,0.00011869129223989193
LC,333338045,0.00011821911415753591
PY,331698156,0.00011763752370362692
AJ,331384552,0.00011752630331449834
IQ,318727904,0.00011303759361811866
NJ,312598990,0.00011086395999094682
BB,308276690,0.00010933104622731351
NH,306883963,0.00010883711235245899
UO,300484143,0.00010656740128132193
KL,298033281,0.0001056981973638322
LR,283411884,0.00010051268485779451
TN,282266629,0.0001001065175042166
GM,277966576,0.00009858149369095683
SN,258702825,0.00009174955952463223
NR,258048421,0.00009151747362162302
FY,256535008,0.00009098073817573506
MN,247850339,0.00008790070008427924
DW,230152384,0.0000816240791168168
SB,223212317,0.00007916276818864494
YR,219696469,0.00007791586450541086
DN,213431654,0.00007569403327201283
SQ,209894196,0.00007443946555193908
ZO,202480511,0.00007181018489679211
OJ,196696657,0.0000697589276024244
YD,192245315,0.00006818024879289267
LB,188643782,0.00006690295672480865
WT,184446342,0.00006541432485103196
LG,171657388,0.00006087869252355049
KO,171324962,0.000060760796868276776
NP,170186564,0.00006035706136572197
SR,168896339,0.00005989948006394195
